Lap_Name,Lap_Price,Specifications
DELL Inspiron Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light...,"₹38,790",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
Infinix X3 Slim Intel Core i3 1215U 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light ...,"₹34,990",Intel Core i3 Processor (12th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
Acer Aspire 7 (2023) Core i5 12450H 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,"₹54,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
DELL Inspiron Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light...,"₹38,790",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD96.52 cm (38 cm) DisplayMicrosoft Office Home & Student 20211 Year Onsite Hardware Service
DELL Inspiron 3000 Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3511 Thin and Light Lap...,"₹38,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
HP 15s Intel Core i5 1235U 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light La...,"₹54,990",Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
ASUS VivoBook 16X Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB711WS Thin an...,"₹62,990",AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year Onsite Warranty
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2223AU Thin and Light Laptop,"₹49,631",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Acer Extensa (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,"₹36,891",Stylish & Portable Thin and Light LaptopLPDDR5 RAM -faster & low power consumingFirmware TPM (Trusted Platform Module)-Improved Security of your PCFHD 1080p screen with 250 Nits brightnessLatest WiFi 6AMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty
Infinix X2 Slim Intel Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light ...,"₹30,490",Intel Core i3 Processor (11th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayNA1 year Onsite Warranty
